ip,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,a1,a2,a3,blah,threev,something,aa,ab,ac,af,ag,ap
1769739,1,1,1,0,0,0,0,0,0,25,25,0,0,0,0,0,0,1,1,0,2,2,2,0,2.848,3.072,2.95296,0.065435096,96,96,96,0,48,48,48,0,25,0
1769836,1,1,4,0,0,0,0,0,0,1053,1050,0,0,0,0,0,0,0.990592662,0.987770461,0,1,2,1.998118532,0.043305602,0,3.168,2.955439323,0.14155636,52,104,103.9021637,2.251891312,52,52,52,0,1063,0
1770582,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,315,315,315,0,315,315,315,0,0,1
1770670,1,1,3,0,0,0,0,0,0,335,323,0,0,0,0,0,0,0.994065282,0.958456973,0,2,2,2,0,2.816,3.2,2.994421365,0.073467478,96,96,96,0,48,48,48,0,337,0
1771123,1,1,2,0,0,0,0,0,0,448,433,0,0,0,0,0,0,0.995555556,0.962222222,0,2,2,2,0,2.816,3.136,2.960853333,0.059692482,96,96,96,0,48,48,48,0,450,0
1771333,1,1,2,0,0,0,0,0,0,339,339,0,0,0,0,0,0,0.997058824,0.997058824,0,2,2,2,0,2.816,3.2,2.969976471,0.07090955,104,104,104,0,52,52,52,0,340,0
1771376,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1771400,1,1,1,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0.113207547,0.018867925,0,1,1,1,0,0,0,0,0,90,296,128.5283019,23.2245905,90,296,128.5283019,23.2245905,0,53
1771441,1,1,1,0,0,0,0,0,0,5,1,0,0,1,0,0,0,1,0.2,0,1,1,1,0,0,0,0,0,131,319,168.6,57.24660883,131,319,168.6,57.24660883,0,5
1771507,1,1,3,0,0,0,0,0,0,553,514,0,0,0.001801802,0,0,0,0.996396396,0.926126126,0,1,2,1.998198198,0.042364334,0,3.072,2.951783784,0.138010032,96,313,96.39099099,9.193060535,48,313,48.47747748,11.22654858,554,1
1771567,1,1,2,0,0,0,0,0,0,154,151,0,0,0.006493506,0,0,0,1,0.980519481,0,1,2,1.987012987,0.112300814,0,3.168,2.939012987,0.341868032,48,131,95.91558442,4.752430134,48,131,48.53896104,6.590841559,153,1
1771743,1,1,2,0,0,0,0,0,0,191,185,0,0,0,0,0,0,0.994791667,0.963541667,0,1,2,1.994791667,0.071630699,0,3.168,2.939166667,0.220659739,48,96,95.75,3.438273551,48,48,48,0,192,0
1772016,1,1,3,0,0,0,0,0,0,286,273,0,0,0,0,0,0,0.996515679,0.951219512,0,2,2,2,0,2.816,3.072,2.952139373,0.05176332,96,96,96,0,48,48,48,0,287,0
1772078,0.75,0.833333333,1,0,0,0,0,0,0,2,7,0,0.083333333,0.25,0,0.083333333,0,0.166666667,0.583333333,0.083333333,1,12,2.333333333,2.848264719,0,6.016,1.026666667,1.804691106,46,793,176.5,195.1613321,46,315,95,85.44822955,3,9
1772352,1,1,1,0,0,0,0,0,0,43,43,0,0,0,0,0,0,1,1,0,2,2,2,0,2.784,3.104,2.94772093,0.061060763,104,104,104,0,52,52,52,0,43,0
1772536,1,1,2,0,0,0,0,0,0,220,219,0,0,0,0,0,0,0.990990991,0.986486486,0,2,2,2,0,2.816,3.04,2.945873874,0.05293432,96,96,96,0,48,48,48,0,222,0
1772615,1,1,2,0,0,0,0,0,0,405,404,0,0,0,0,0,0,0.997536946,0.995073892,0,2,2,2,0,2.784,3.072,2.951408867,0.057468676,96,96,96,0,48,48,48,0,406,0
1772703,1,0.666666667,1,0,0,0,0,0,0,3,3,0,0,0.666666667,0,0,0,1,1,0,1,5,2.333333333,1.387777333,0,1.024,0.341333333,0.355270997,230,315,286.6666667,29.49026833,46,315,225.3333333,93.32802564,0,3
1772783,1,1,1,0,0,0,0,0,0,102,101,0,0,0,0,0,0,1,0.990196078,0,2,2,2,0,2.848,3.168,2.978509804,0.068644631,96,96,96,0,48,48,48,0,102,0
1773312,1,1,2,0,0,0,0,0,0,546,512,0,0,0,0,0,0,0.996350365,0.934306569,0,1,2,1.994525547,0.073612625,0,3.072,2.950189781,0.228440246,48,96,95.73722628,3.533406001,48,48,48,0,548,0
1773549,1,1,2,0,0,0,0,0,0,308,296,0,0,0,0,0,0,0.996763754,0.957928803,0,2,2,2,0,2.784,3.072,2.955909385,0.05648999,96,96,96,0,48,48,48,0,309,0
1773608,1,0.9,2,0,0,0,0,0,0,9,2,0,0,0.9,0,0,0,0.9,0.2,0,1,5,1.4,1.097505015,0,0.896,0.0896,0.245841123,131,345,253.1,77.90072585,46,345,234.7,96.27999055,0,10
1773983,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1774273,1,1,2,0,0,0,0,0,0,114,113,0,0,0,0,0,0,1,0.99122807,0,2,2,2,0,2.816,3.136,2.96477193,0.059419721,96,96,96,0,48,48,48,0,114,0
1774824,1,1,2,0,0,0,0,0,0,56,56,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.959428571,0.054856834,96,96,96,0,48,48,48,0,56,0
1774921,1,1,2,0,0,0,0,0,0,70,70,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.950857143,0.051831337,96,96,96,0,48,48,48,0,70,0
1775566,1,1,3,0,0,0,0,0,0,552,517,0,0,0.005415162,0,0,0,0.996389892,0.933212996,0,1,2,1.983754513,0.126227655,0,3.168,2.923032491,0.38213349,46,315,95.99819495,10.75964836,46,315,48.77797834,12.33690367,550,4
1775764,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1775867,1,1,2,0,0,0,0,0,0,351,339,0,0,0,0,0,0,0.994334278,0.960339943,0,1,2,1.997167139,0.053072326,0,3.136,2.947082153,0.165613411,48,96,95.86402266,2.547471666,48,48,48,0,353,0
1775955,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,2
1776509,1,1,2,0,0,0,0,0,0,176,173,0,0,0,0,0,0,0.994350282,0.97740113,0,1,2,1.994350282,0.074544035,0,3.072,2.934237288,0.228361275,48,96,95.72881356,3.578113692,48,48,48,0,177,0
1776966,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1777002,1,1,2,0,0,0,0,0,0,142,140,0,0,0,0,0,0,1,0.985915493,0,2,2,2,0,2.848,3.072,2.964056338,0.056351508,96,96,96,0,48,48,48,0,142,0
1777112,1,1,1,0,0,0,0,0,0,40,40,0,0,0,0,0,0,1,1,0,2,2,2,0,2.848,3.008,2.9512,0.04198545,96,96,96,0,48,48,48,0,40,0
1777480,1,1,2,0,0,0,0,0,0,170,170,0,0,0,0,0,0,1,1,0,1,2,1.988235294,0.107311275,0,3.168,2.918211765,0.322317285,52,104,103.3882353,5.580186287,52,52,52,0,170,0
1777648,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1777911,1,1,2,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0.777777778,0.111111111,0,1,1,1,0,0,0,0,0,131,315,211.6666667,81.45563262,131,315,211.6666667,81.45563262,0,9
1777971,1,1,2,0,0,0,0,0,0,168,167,0,0,0,0,0,0,1,0.994047619,0,2,2,2,0,2.816,3.104,2.957904762,0.056166193,96,96,96,0,48,48,48,0,168,0
1777985,1,1,2,0,0,0,0,0,0,264,256,0,0,0,0,0,0,0.996226415,0.966037736,0,2,2,2,0,2.816,3.136,2.956316981,0.056301659,96,96,96,0,48,48,48,0,265,0
1778970,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,2
1779044,1,1,2,0,0,0,0,0,0,244,242,0,0,0.016260163,0,0,0,0.991869919,0.983739837,0,1,2,1.983739837,0.126103691,0,3.168,2.910439024,0.37908751,104,305,105.1463415,13.07170595,52,305,53.99186992,18.17949265,242,4
1779225,1,1,2,0,0,0,0,0,0,202,196,0,0,0,0,0,0,1,0.97029703,0,1,2,1.995049505,0.069600513,0,3.168,2.945742574,0.21456287,48,96,95.76237624,3.340824603,48,48,48,0,202,0
1779351,1,1,2,0,0,0,0,0,0,617,572,0,0,0,0,0,0,0.99516129,0.922580645,0,1,2,1.996774194,0.055807549,0,3.168,2.957419355,0.179369411,48,96,95.84516129,2.678762336,48,48,48,0,620,0
1779435,1,1,2,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0.727272727,0.090909091,0,1,1,1,0,0,0,0,0,315,345,326.2727273,12.68514399,315,345,326.2727273,12.68514399,0,11
1779744,0.5,0,1,0,0,0,0,0,0,1,8,0,0.5,0.571428571,0,0.071428571,0,0.071428571,0.571428571,0.5,5,6,5.428571429,0.443728305,0.512,5.536,2.377142857,1.437256179,280,502,380.6428571,85.4233352,56,83,69,10.87068006,7,7
1780126,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,305,315,310,3.535533906,305,315,310,3.535533906,0,2
1780139,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1780172,1,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0.25,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,4
1780567,1,1,2,0,0,0,0,0,0,86,85,0,0,0,0,0,0,1,0.988372093,0,2,2,2,0,2.816,3.072,2.961488372,0.048911517,96,96,96,0,48,48,48,0,86,0
1780794,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1780844,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,315,315,315,0,315,315,315,0,0,2
1781233,1,1,1,0,0,0,0,0,0,55,55,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.959709091,0.061729426,96,96,96,0,48,48,48,0,55,0
1781433,1,0.861111111,3,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0.305555556,0.027777778,0,1,6,1.833333333,1.272627038,0,38.4,5.259555556,8.813111327,95,1632,563.8888889,363.1141688,95,487,320.3055556,77.19015118,0,36
1781499,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,46,46,46,0,46,46,46,0,0,1
1781527,1,1,3,0,0,0,0,0,0,611,613,0,0,0,0,0,0,0.991883117,0.99512987,0,1,2,1.99025974,0.098019443,0,3.168,2.927220779,0.298096967,52,104,103.4935065,5.097011013,52,52,52,0,616,0
1781858,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1782037,1,0.785714286,1,0,0,0,0,0,0,3,8,0,0,0.285714286,0,0,0,0.214285714,0.571428571,0,1,3,1.571428571,0.748878771,0,8.032,0.877714286,1.639760531,58,315,121.3571429,73.25437096,48,315,85.92857143,65.57470873,3,11
1782242,1,1,1,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0.727272727,0.090909091,0,1,1,1,0,0,0,0,0,90,300,169.8181818,72.61924697,90,300,169.8181818,72.61924697,0,11
1782601,1,1,2,0,0,0,0,0,0,238,229,0,0,0.008403361,0,0,0,1,0.962184874,0,1,2,1.991596639,0.09062164,0,3.104,2.932436975,0.273857548,96,315,97.06722689,14.20492674,48,315,49.47058824,17.90343352,236,2
1782978,1,1,2,0,0,0,0,0,0,136,131,0,0,0.014705882,0,0,0,1,0.963235294,0,1,2,1.985294118,0.119872354,0,3.104,2.910117647,0.358104327,96,134,96.53676471,4.379082885,48,134,49.24264706,10.13082727,134,2
1783526,1,1,2,0,0,0,0,0,0,317,316,0,0,0,0,0,0,0.996855346,0.993710692,0,1,2,1.993710692,0.07887274,0,3.168,2.958289308,0.245222625,52,104,103.672956,4.101382462,52,52,52,0,318,0
1783617,1,1,2,0,0,0,0,0,0,190,184,0,0,0,0,0,0,1,0.968421053,0,2,2,2,0,2.784,3.136,2.949726316,0.068516633,96,96,96,0,48,48,48,0,190,0
1783656,0,0.288546256,2,0,0,0,0,0,0,14,447,0,0.696035242,0.36784141,0,0.36123348,0,0.030837004,0.984581498,0.696035242,1,482,13.63215859,33.46070054,0,35.328,9.387207048,6.636225904,41,29201,1567.039648,3183.41786,40,436,83.84361233,71.30694326,454,0
1783730,1,0.997191011,2,0,0,0,0,0,0,355,343,0,0,0,0,0,0,0.997191011,0.963483146,0,1,3,2,0.074733641,0,3.072,2.946966292,0.187002154,48,144,96,3.587214777,48,48,48,0,356,0
1783951,1,1,1,0,0,0,0,0,0,28,28,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.948571429,0.066118934,96,96,96,0,48,48,48,0,28,0
1784437,0.016722408,0.682274247,2,0,0,0,0,0,0,9,32,0,0.026755853,0.147157191,0,0.016722408,0.010033445,0.030100334,0.107023411,0.036789298,1,109,7.27090301,13.17966423,0,60.672,8.598688963,17.47686014,44,10443,496.1438127,1118.807306,40,147,51.23745819,19.55783525,297,2
1784466,1,1,1,0,0,0,0,0,0,117,117,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.168,2.958495726,0.06583011,96,96,96,0,48,48,48,0,117,0
1785057,1,1,2,0,0,0,0,0,0,223,212,0,0,0,0,0,0,1,0.950672646,0,1,2,1.995515695,0.066650679,0,3.104,2.952466368,0.205486973,48,96,95.78475336,3.199232602,48,48,48,0,223,0
1785903,1,1,3,0,0,0,0,0,0,73,73,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.939178082,0.050122997,96,96,96,0,48,48,48,0,73,0
1786113,0,0,1,0,0,0,0,0,0,1,4,0,1,0.25,0,0.25,0,0.25,1,1,5,8,5.75,1.125,0.416,5.472,1.688,1.892030068,268,394,323.75,41.3584643,49,69,56.75,5.813209335,4,0
1786149,1,1,2,0,0,0,0,0,0,74,73,0,0,0,0,0,0,1,0.986486486,0,2,2,2,0,2.816,3.104,2.95827027,0.056793534,96,96,96,0,48,48,48,0,74,0
1786174,1,1,3,0,0,0,0,0,0,804,723,0,0,0,0,0,0,0.991368681,0.891491985,0,1,2,1.996300863,0.056958302,0,3.072,2.942421702,0.178787375,48,96,95.82244143,2.733998508,48,48,48,0,811,0
1786275,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,2
1786433,1,1,2,0,0,0,0,0,0,60,60,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.941333333,0.05211427,96,96,96,0,48,48,48,0,60,0
1786530,1,1,1,0,0,0,0,0,0,69,69,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.104,2.963478261,0.062512109,96,96,96,0,48,48,48,0,69,0
1786593,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,11,11,11,0,13.664,13.664,13.664,0,745,745,745,0,67,67,67,0,1,0
1786656,1,1,1,0,0,0,0,0,0,6,3,0,0,1,0,0,0,0.4,0.2,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,15
1787017,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,129,129,129,0,129,129,129,0,0,1
1787035,1,1,1,0,0,0,0,0,0,60,60,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.168,2.962133333,0.068750424,96,96,96,0,48,48,48,0,60,0
1787086,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1787346,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,315,315,315,0,315,315,315,0,0,1
1787482,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
